feature,importance,tipo,seleccionada,umbral_falsa_max
mcaja_ahorro_percentil,0.033958110782872905,real,True,0.004158182017433896
ctrx_quarter,0.031915808440413404,real,True,0.004158182017433896
mcuentas_saldo_percentil,0.02419303689832442,real,True,0.004158182017433896
ctrx_quarter_lag1,0.023675201423107264,real,True,0.004158182017433896
mtarjeta_visa_consumo_percentil,0.02302917863521568,real,True,0.004158182017433896
mcaja_ahorro,0.021811721382509117,real,True,0.004158182017433896
mcaja_ahorro_lag1,0.019058273445873984,real,True,0.004158182017433896
mcaja_ahorro_lag2,0.01885798734680279,real,True,0.004158182017433896
ctrx_quarter_lag2,0.017888966851734963,real,True,0.004158182017433896
mcuentas_saldo_lag1,0.01783494079845562,real,True,0.004158182017433896
mcuentas_saldo_lag2,0.015495043547737376,real,True,0.004158182017433896
mpasivos_margen_percentil,0.01404019673668667,real,True,0.004158182017433896
mtarjeta_visa_consumo,0.012081915168177948,real,True,0.004158182017433896
mcuenta_corriente_delta2,0.01149791767140679,real,True,0.004158182017433896
Visa_mconsumospesos,0.01131266062357423,real,True,0.004158182017433896
mcuentas_saldo,0.01057157291972251,real,True,0.004158182017433896
mpasivos_margen,0.009944942719772526,real,True,0.004158182017433896
Visa_mpagospesos,0.009706185762841376,real,True,0.004158182017433896
mcuenta_corriente,0.009629885235465858,real,True,0.004158182017433896
mcuenta_corriente_lag2,0.009347673924099428,real,True,0.004158182017433896
mcuenta_corriente_percentil,0.008797375727857843,real,True,0.004158182017433896
matm_percentil,0.008570691940089439,real,True,0.004158182017433896
mcuentas_saldo_delta1,0.00803596342380662,real,True,0.004158182017433896
ctarjeta_visa_transacciones,0.007371875586362503,real,True,0.004158182017433896
mcuenta_corriente_delta1,0.007061408988710254,real,True,0.004158182017433896
mtarjeta_visa_consumo_lag1,0.006979339955976914,real,True,0.004158182017433896
mpayroll_percentil,0.006745182073003927,real,True,0.004158182017433896
mautoservicio,0.006341427610260451,real,True,0.004158182017433896
mcuenta_corriente_lag1,0.0061157750883757385,real,True,0.004158182017433896
Visa_msaldototal,0.0059520893073905954,real,True,0.004158182017433896
mpagodeservicios_percentil,0.005937434330505044,real,True,0.004158182017433896
ccomisiones_otras,0.005860876574845912,real,True,0.004158182017433896
cliente_edad_lag2,0.005833231552509683,real,True,0.004158182017433896
mextraccion_autoservicio_percentil,0.005803628806499817,real,True,0.004158182017433896
mpasivos_margen_lag2,0.005785550867635967,real,True,0.004158182017433896
mcomisiones_mantenimiento_percentil,0.005565730753106296,real,True,0.004158182017433896
mrentabilidad_percentil,0.005315243658018414,real,True,0.004158182017433896
mautoservicio_percentil,0.005235142757593683,real,True,0.004158182017433896
Visa_mconsumototal,0.004931208526365552,real,True,0.004158182017433896
mrentabilidad_lag1,0.004856988036964989,real,True,0.004158182017433896
